category_id,game_id
2,8416
2,420
2,13671
2,2509
2,5361
2,7487
2,961
2,6635
2,13722
2,509
2,162
2,16330
2,14306
2,1689
2,491
2,469
2,12979
3,13348
2,10661
2,9608
2,15883
3,19124
2,94
2,10259
2,4680
2,274
2,992
3,9032
2,9344
2,3764
2,17540
2,16052
3,4368
2,84
2,187
2,17257
2,214
2,12472
2,14167
2,4370
3,12473
2,7326
2,18277
2,224
2,5151
2,11434
2,4272
3,11971
3,16277
2,373
3,7328
2,443
2,473
2,4180
2,877
2,2040
2,910
2,16579
2,9143
2,3719
2,1393
2,418
2,14547
2,7702
3,12218
2,1682
2,493
2,3092
2,1121
2,1984
2,89
2,3667
2,15040
3,9862
2,17201
2,14246
2,15752
2,12612
2,3342
3,10704
2,151
2,13571
2,6308
2,15743
2,15761
2,1017
2,321
2,1023
2,404
2,12694
3,199
2,773
2,11637
3,15811
2,13228
2,978
2,2257
3,2522
2,12096
2,1219
3,13435
2,5587
3,9335
2,3496
2,13628
2,17864
2,11723
2,16057
2,15318
3,5620
2,2775
2,185
2,11237
2,14909
3,8324
2,10061
3,195
3,409
2,6333
2,4369
2,12031
2,1273
3,19938
2,2210
3,386
2,4929
2,10461
3,3968
3,3085
3,14625
2,16457
2,9313
2,16748
3,379
2,14618
3,10115
3,620
2,4448
2,6085
2,3106
2,710
2,1005
3,2033
3,10694
2,1497
2,426
2,14594
2,74
2,15774
2,1226
2,15364
3,2072
2,6332
2,538
2,14540
2,17931
3,8188
3,1396
2,15765
3,12251
2,11101
2,1342
2,13085
3,30
2,1733
2,9645
2,3612
2,1894
2,1210
2,190
2,5332
2,48
2,138
2,97
3,4884
2,9382
2,7253
2,5233
2,1150
3,11528
2,9981
2,2121
2,1060
2,5280
3,4133
5,2584
5,5487
5,4303
5,415
5,7126
5,14122
5,4321
5,627
5,6431
5,7346
5,3480
5,11737
5,3831
5,9551
2,15664
5,16047
5,9684
5,11717
5,357
5,10843
5,9136
5,4062
5,5558
2,2588
5,11751
3,7836
3,2020
5,745
5,1651
5,5194
5,1270
5,4004
5,1296
5,3234
5,3625
5,2513
5,7073
2,467
5,371
5,3750
5,5059
5,19106
5,12003
5,7256
5,9856
2,5016
5,633
5,9087
5,13008
5,13558
5,15105
5,14675
5,17202
5,12417
5,367
5,194
5,3458
5,4867
5,7204
5,6160
5,372
6,2145
5,353
5,15766
5,5266
5,2163
5,7363
5,6579
5,7089
5,16053
2,4066
5,17669
5,5197
5,9437
