game_id,genre_id
14627,96
5119,96
14594,96
19938,31
4272,89
16048,25
14158,96
34,25
6278,25
13971,96
9314,96
14373,96
1000,88
85,9
1374,9
891,7
827,6
10678,102
755,67
19463,2
957,6
274,6
224,6
4874,25
978,7
5587,32
654,22
4896,40
14497,6
20613,101
16176,101
1129,74
9645,6
17696,101
11020,101
3010,96
12352,101
1662,96
367,96
194,101
3050,96
7346,17
6130,101
12030,99
5517,82
2073,17
4101,96
4303,101
3028,96
9906,102
844,96
4004,89
7073,101
9748,102
10521,101
3422,9
11180,101
2163,101
362,101
1084,110
3789,110
13664,99
2433,89
149,110
4164,96
15318,102
571,96
15375,89
9400,96
13704,96
20444,99
3652,96
4255,96
925,82
466,96
8951,96
6534,82
1056,44
1273,96
5747,99
9992,99
841,99
11055,82
16237,96
17033,12
396,99
1437,96
2501,7
147,44
544,89
10913,89
1275,96
11780,99
1894,99
6619,58
15655,89
1262,96
2403,15
4824,15
4778,89
7101,96
4368,6
13807,96
15455,6
11725,12
7157,22
9227,67
8188,54
10479,26
733,37
2072,96
8710,93
1137,44
8709,93
10391,93
9519,93
7348,112
16380,93
1513,112
3991,31
9520,93
13332,93
7929,96
4374,20
12473,26
9107,26
7328,89
5710,102
5661,99
199,96
7637,81
13218,102
13642,26
5620,93
17240,26
409,93
16457,93
12181,81
17760,25
11528,89
5728,102
11340,58
48,96
15765,31
11917,96
15761,96
17202,99
10508,99
8856,96
4914,96
2775,40
14072,96
60,31
4212,96
5223,99
7811,96
782,31
1417,99
2509,96
8485,96
6792,99
12174,31
5158,96
261,96
747,31
11650,96
14171,96
16748,96
66,96
469,96
14488,31
4657,31
4114,96
1527,31
5941,31
5005,31
8860,31
2528,31
909,31
10647,96
6813,96
9736,96
4381,96
7049,96
784,96
501,96
14306,96
4113,96
13867,96
14530,31
1689,96
14952,96
4348,99
491,96
4899,96
1020,89
12979,96
2720,89
9067,25
3085,40
16927,32
10567,96
4148,96
3954,60
17540,96
1150,96
812,40
2385,40
1623,96
3154,31
19592,96
1125,31
15669,96
6026,31
14873,31
9791,99
2326,96
965,96
8750,99
2221,31
2622,96
11947,31
4875,31
8706,96
6085,96
12015,96
13729,96
2510,40
13643,96
9136,96
2101,31
11114,31
7837,31
78,25
9344,96
10656,96
9384,96
16568,96
3163,96
566,25
91,96
7326,31
983,96
16330,96
1207,96
9311,96
14547,96
7071,96
10764,96
11715,96
15752,31
11010,96
6148,89
390,31
17009,96
1037,31
8806,96
531,96
14909,96
19013,96
663,96
3258,96
684,96
2330,96
710,96
19930,25
9471,96
1210,96
3018,96
9927,96
13889,89
7001,98
5282,78
6431,96
2145,96
15928,96
2573,96
357,89
3781,96
9193,96
5628,96
8117,96
1665,9
8314,45
3928,40
4254,40
13483,40
16200,45
75,96
14,96
850,40
3064,96
1702,96
10492,96
15516,96
3234,89
507,96
5212,96
